Latency Type Duration
%front = 1, back = 2%
15 1 1
20 2 1
25 1 1
30 2 1
35 1 1
40 2 1
45 1 1
50 2 1
55 1 1
60 2 1
65 1 1
70 2 1
75 1 1
80 2 1
85 1 1
90 2 1
95 1 1
100 2 1
105 1 1
110 2 1
115 1 1
120 2 1
125 1 1
130 2 1
135 1 1
140 2 1
145 1 1
150 2 1
155 1 1
160 2 1
165 1 1
170 2 1
175 1 1
180 2 1
185 1 1
190 2 1
195 1 1
200 2 1
205 1 1
210 2 1
215 1 1
220 2 1
225 1 1
230 2 1
235 1 1
240 2 1
245 1 1
250 2 1
255 1 1
260 2 1
265 1 1
270 2 1
275 1 1
280 2 1
285 1 1
290 2 1
295 1 1
300 2 1
